Entity,Year,Total Real GDP,Real GDP per capita
United Kingdom,1591,5635003865,858.6388421
United Kingdom,1592,6092187037,926.612081
United Kingdom,1593,6449279942,981.3980107
United Kingdom,1594,5280832282,796.3312534
United Kingdom,1595,5341787355,795.6975501
United Kingdom,1596,5104294702,755.007504
United Kingdom,1597,4869996307,720.6691723
United Kingdom,1598,5767076824,858.9604675
United Kingdom,1599,6632802498,978.9619871
United Kingdom,1600,6347808986,925.6364417
United Kingdom,1601,6346462665,915.0124831
United Kingdom,1602,6692530852,958.9465848
United Kingdom,1603,7103678032,1012.59802
United Kingdom,1604,7572665608,1076.874482
United Kingdom,1605,6826515053,959.2292421
United Kingdom,1606,7202328936,1002.601368
United Kingdom,1607,6606221133,908.9522185
United Kingdom,1608,6306078749,860.3131888
United Kingdom,1609,7334417224,992.22127
United Kingdom,1610,7790173056,1050.621906
United Kingdom,1611,7175739629,961.8812226
United Kingdom,1612,6874961992,917.0559861
United Kingdom,1613,6647262830,882.7630763
United Kingdom,1614,6410802538,851.3528135
United Kingdom,1615,6983277338,920.2929127
United Kingdom,1616,6613036173,868.5814792
United Kingdom,1617,7300399130,957.7694529
United Kingdom,1618,7306060558,952.425257
United Kingdom,1619,6725331635,868.6422161
United Kingdom,1620,7881160897,1008.587553
United Kingdom,1621,7931933772,1003.044857
United Kingdom,1622,6965365157,865.4869711
United Kingdom,1623,6950934063,858.2788075
United Kingdom,1624,7848671315,975.1350463
United Kingdom,1625,7911370671,984.5480712
United Kingdom,1626,7517631104,947.2633724
United Kingdom,1627,7583747513,948.699634
United Kingdom,1628,8696836150,1065.805278
United Kingdom,1629,6491807568,783.1455248
United Kingdom,1630,6407916375,775.2828478
United Kingdom,1631,6520693662,794.229351
United Kingdom,1632,7419230322,892.3115951
United Kingdom,1633,7002655082,821.5656914
United Kingdom,1634,7174500295,831.6088976
United Kingdom,1635,7455999889,860.373616
United Kingdom,1636,7086841190,835.4581401
United Kingdom,1637,6995716541,807.8868314
United Kingdom,1638,7652668036,889.3550287
United Kingdom,1639,7793220993,897.9866883
United Kingdom,1640,8000008978,921.4837965
United Kingdom,1641,7018606989,820.9147832
United Kingdom,1642,7747862327,895.2753989
United Kingdom,1643,8293220137,944.4344508
United Kingdom,1644,8309028988,955.5014859
United Kingdom,1645,7232450139,827.0812116
United Kingdom,1646,7275779622,834.5451181
United Kingdom,1647,7350237871,829.692664
United Kingdom,1648,7436637375,840.4755167
United Kingdom,1649,7315000744,825.7615556
United Kingdom,1650,7009557109,791.7341908
United Kingdom,1651,7397031839,836.1867929
United Kingdom,1652,8459530100,941.5169749
United Kingdom,1653,9436136749,1051.299246
