Entity,Year,CO2 intensity- (kgCO2/2011-$ PPP)- World Bank
Colombia,1996,0.187614733
Colombia,1997,0.194524874
Colombia,1998,0.196602604
Colombia,1999,0.175789664
Colombia,2000,0.172554378
Colombia,2001,0.164872222
Colombia,2002,0.159094339
Colombia,2003,0.157936923
Colombia,2004,0.143802755
Colombia,2005,0.151989032
Colombia,2006,0.147111096
Colombia,2007,0.136500358
Colombia,2008,0.143772258
Colombia,2009,0.150935029
Colombia,2010,0.152165745
Colombia,2011,0.143445978
Colombia,2012,0.143895388
Colombia,2013,0.153957194
China,1990,1.420132713
China,1991,1.364736599
China,1992,1.246393863
China,1993,1.168782583
China,1994,1.098325636
China,1995,1.07475746
China,1996,1.019738829
China,1997,0.935294638
China,1998,0.831028754
China,1999,0.770387297
China,2000,0.728735223
China,2001,0.688911939
China,2002,0.668682356
China,2003,0.744383692
China,2004,0.790013972
China,2005,0.776498828
China,2006,0.763171781
China,2007,0.707394583
China,2008,0.681573511
China,2009,0.6614763
China,2010,0.688068696
China,2011,0.696706741
China,2012,0.665630671
China,2013,0.631809832
Chile,1990,0.27424159
Chile,1991,0.238816813
Chile,1992,0.220520282
Chile,1993,0.219782347
Chile,1994,0.22878725
Chile,1995,0.226571854
Chile,1996,0.245064699
Chile,1997,0.267300886
Chile,1998,0.264659563
Chile,1999,0.284553883
Chile,2000,0.260410292
Chile,2001,0.228518627
Chile,2002,0.231314163
Chile,2003,0.224284994
Chile,2004,0.227381517
Chile,2005,0.222766475
Chile,2006,0.223708261
Chile,2007,0.235127951
Chile,2008,0.228309045
Chile,2009,0.214499046
Chile,2010,0.21936201
Chile,2011,0.22731886
Chile,2012,0.220263816
Chile,2013,0.217586204
Costa Rica,1990,0.122593235
Costa Rica,1991,0.134941139
Costa Rica,1992,0.14041534
Costa Rica,1993,0.136701704
Costa Rica,1994,0.174400837
Costa Rica,1995,0.154675781
Costa Rica,1996,0.149100258
Costa Rica,1997,0.148329594
Costa Rica,1998,0.147852477
Costa Rica,1999,0.147736855
Costa Rica,2000,0.141188826
Costa Rica,2001,0.143554347
Costa Rica,2002,0.152603191
Costa Rica,2003,0.15333235
Costa Rica,2004,0.153709555
Costa Rica,2005,0.146650334
Costa Rica,2006,0.141352342
Costa Rica,2007,0.149510951
Costa Rica,2008,0.142997156
Costa Rica,2009,0.140360403
Costa Rica,2010,0.128090485
Costa Rica,2011,0.125597655
Costa Rica,2012,0.120246027
Costa Rica,2013,0.115552133
Congo,1990,0.094707937
Congo,1991,0.098487282
Congo,1992,0.119349449
Congo,1993,0.118282613
Congo,1994,0.174209888
Congo,1995,0.122076202
Congo,1996,0.1282934
Congo,1997,0.176271198
Congo,1998,0.056374196
Congo,1999,0.061144049
Congo,2000,0.072569963
Congo,2001,0.051089178
Congo,2002,0.036696604
Congo,2003,0.057962693
Congo,2004,0.058031798
Congo,2005,0.055726346
Congo,2006,0.059697194
Congo,2007,0.065827675
Congo,2008,0.067251024
Congo,2009,0.081508129
Congo,2010,0.084619684
Congo,2011,0.094912245
Congo,2012,0.097593518
Congo,2013,0.098266347
Comoros,1990,0.094663807
Comoros,1991,0.100062794
Comoros,1992,0.092197496
Comoros,1993,0.089506972
Comoros,1994,0.094493071
Comoros,1995,0.096565353
Comoros,1996,0.097828979
Comoros,1997,0.094038891
Comoros,1998,0.098006186
Comoros,1999,0.106277711
Comoros,2000,0.105008047
Comoros,2001,0.102614124
Comoros,2002,0.104642892
Comoros,2003,0.111027011
Comoros,2004,0.113125717
Comoros,2005,0.114078681
Comoros,2006,0.123044531
Comoros,2007,0.122067802
Comoros,2008,0.125503126
Comoros,2009,0.123102625
Comoros,2010,0.131745104
Comoros,2011,0.150419082
Comoros,2012,0.142476043
Comoros,2013,0.151423814
Cote d'Ivoire,1990,0.147221926
Cote d'Ivoire,1991,0.143793727
Cote d'Ivoire,1992,0.118261825
Cote d'Ivoire,1993,0.1510018
Cote d'Ivoire,1994,0.13347516
Cote d'Ivoire,1995,0.169232272
Cote d'Ivoire,1996,0.184550759
Cote d'Ivoire,1997,0.173531604
