Entity,Year,UDel_temp_popweight,UDel_max,UDel_min,UDel_var,UDel_mean,UDel_mean_2,UDel_prcp_max,UDel_prcp_min,UDel_prcp_var,UDel_prcp_mean,UDel_prcp_mean_2,UDel_precip_popweight
Panama,1998,26.2200000000,27.9136008300,24.6887585900,1.0714103200,26.2694696200,690.0850340000,43.3809799700,2.4148435510,255.9582673000,24.9378953900,621.8986265000,3024.7900000000
Panama,1999,25.0700000000,26.0451772600,24.2025799100,0.3242353470,25.1042747000,630.2246081000,44.3117483400,5.1987424340,179.2956655000,28.1211938200,790.8015420000,3393.2200000000
Panama,2000,25.5200000000,26.6039857400,24.9827503500,0.2099297550,25.5346870500,652.0202427000,44.8172824800,2.2556568120,165.8038505000,21.3057872600,453.9365707000,2600.8700000000
Panama,2001,25.3400000000,26.6974747500,24.6067946800,0.3685045460,25.3539171600,642.8211155000,45.3400979200,2.1215901190,199.0747433000,22.7888317900,519.3308544000,2777.9600000000
Panama,2002,26.2200000000,27.1883618700,25.5998619600,0.3593659900,26.2680291900,690.0093575000,31.2935524400,3.1330323900,118.8241592000,19.9003738700,396.0248800000,2426.2300000000
Panama,2003,26.2500000000,27.4597454200,25.5541773300,0.4733379810,26.2928047700,691.3115829000,34.7623906000,3.2135311010,128.9794880000,20.4736888600,419.1719355000,2558.9700000000
Panama,2004,26.0200000000,27.1217473800,25.2492087200,0.4297673290,26.0479892400,678.4977433000,65.0458549200,2.0177568180,350.5165721000,24.9184884400,620.9310663000,3091.8600000000
Panama,2005,25.6500000000,26.8050515000,24.7514371600,0.4012834460,25.7043130400,660.7117087000,47.0794387900,5.9722294750,182.2976140000,24.9369266900,621.8503126000,3035.5700000000
Panama,2006,25.6800000000,26.2212955900,24.8322606000,0.1137240800,25.6495685200,657.9003654000,44.4134122500,6.1651583330,168.5004906000,25.1633243300,633.1928912000,3058.2800000000
Panama,2007,25.7900000000,26.8275424000,24.8013530100,0.4478584170,25.7625335900,663.7081370000,44.3671291500,2.3673008190,189.8616245000,21.9348871400,481.1392738000,2695.4400000000
Panama,2008,25.6700000000,26.6656013100,24.6050579200,0.2603825740,25.6703758900,658.9681982000,42.3419414200,1.6296969460,250.9987932000,23.3781559700,546.5381763000,2861.9400000000
Panama,2009,26.0500000000,27.3536989300,25.1172011600,0.3340931660,26.0392613600,678.0431319000,48.4172381400,3.7244903740,253.4634187000,22.3472366100,499.3989843000,2978.5900000000
